
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[24/03/2026, 08:00:00] [WIN] Trade #318 | Lote: 0.03 | P&L: +$55.86 | Saldo: $4646.79 ???
[24/03/2026, 08:15:00] [WIN] Trade #319 | Lote: 0.03 | P&L: +$79.23 | Saldo: $4726.02 ???
[24/03/2026, 08:30:00] [WIN] Trade #320 | Lote: 0.03 | P&L: +$42.03 | Saldo: $4768.05 ???
[24/03/2026, 08:45:00] [WIN] Trade #321 | Lote: 0.03 | P&L: +$47.67 | Saldo: $4815.72 ???
[24/03/2026, 09:00:00] [WIN] Trade #322 | Lote: 0.03 | P&L: +$64.95 | Saldo: $4880.67 ???
[24/03/2026, 09:15:00] [WIN] Trade #323 | Lote: 0.03 | P&L: +$57.33 | Saldo: $4938.00 ???
[24/03/2026, 09:30:00] [WIN] Trade #324 | Lote: 0.03 | P&L: +$48.36 | Saldo: $4986.36 ???
[24/03/2026, 09:45:00] [WIN] Trade #325 | Lote: 0.03 | P&L: +$56.46 | Saldo: $5042.82 ???
[24/03/2026, 10:00:00] [WIN] Trade #326 | Lote: 0.03 | P&L: +$47.55 | Saldo: $5090.37 ???
[24/03/2026, 10:15:00] [WIN] Trade #327 | Lote: 0.03 | P&L: +$34.23 | Saldo: $5124.60 ???
[24/03/2026, 10:30:00] [LOSS] Trade #136 | Lote: 0.03 | P&L: $-19.60 | Saldo: $5105.00 ???
[24/03/2026, 10:45:00] [WIN] Trade #329 | Lote: 0.01 | P&L: +$23.09 | Saldo: $5128.09 ???
[24/03/2026, 11:00:00] [WIN] Trade #330 | Lote: 0.01 | P&L: +$64.91 | Saldo: $5193.00 ???
[24/03/2026, 11:15:00] [WIN] Trade #331 | Lote: 0.01 | P&L: +$17.05 | Saldo: $5210.05 ???
[24/03/2026, 11:30:00] [WIN] Trade #332 | Lote: 0.01 | P&L: +$20.17 | Saldo: $5230.22 ???
[24/03/2026, 11:45:00] [WIN] Trade #333 | Lote: 0.02 | P&L: +$73.52 | Saldo: $5303.74 ???
[24/03/2026, 12:00:00] [LOSS] Trade #142 | Lote: 0.02 | P&L: $-17.55 | Saldo: $5286.19 ???
[24/03/2026, 12:15:00] [LOSS] Trade #143 | Lote: 0.01 | P&L: $-15.78 | Saldo: $5270.40 ???
[24/03/2026, 12:30:00] [WIN] Trade #336 | Lote: 0.01 | P&L: +$44.37 | Saldo: $5314.77 ???
[24/03/2026, 12:45:00] [WIN] Trade #337 | Lote: 0.01 | P&L: +$21.51 | Saldo: $5336.28 ???
[24/03/2026, 13:00:00] [LOSS] Trade #146 | Lote: 0.01 | P&L: $-13.02 | Saldo: $5323.26 ???
[24/03/2026, 13:15:00] [WIN] Trade #339 | Lote: 0.01 | P&L: +$26.81 | Saldo: $5350.07 ???
[24/03/2026, 13:30:00] [WIN] Trade #340 | Lote: 0.01 | P&L: +$18.69 | Saldo: $5368.76 ???
[24/03/2026, 13:45:00] [LOSS] Trade #149 | Lote: 0.01 | P&L: $-16.01 | Saldo: $5352.76 ???
[24/03/2026, 14:00:00] [WIN] Trade #342 | Lote: 0.01 | P&L: +$23.86 | Saldo: $5376.62 ???
[24/03/2026, 14:15:00] [WIN] Trade #343 | Lote: 0.01 | P&L: +$26.10 | Saldo: $5402.72 ???
[24/03/2026, 14:30:00] [WIN] Trade #344 | Lote: 0.01 | P&L: +$19.91 | Saldo: $5422.63 ???
[24/03/2026, 14:45:00] [WIN] Trade #345 | Lote: 0.01 | P&L: +$32.36 | Saldo: $5454.99 ???
[24/03/2026, 15:00:00] [WIN] Trade #346 | Lote: 0.02 | P&L: +$48.84 | Saldo: $5503.83 ???
