
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[24/03/2026, 20:30:00] [WIN] Trade #368 | Lote: 0.01 | P&L: +$25.01 | Saldo: $3992.94 ???
[24/03/2026, 20:45:00] [WIN] Trade #369 | Lote: 0.02 | P&L: +$53.08 | Saldo: $4046.02 ???
[24/03/2026, 22:00:00] [WIN] Trade #370 | Lote: 0.02 | P&L: +$34.74 | Saldo: $4080.76 ???
[24/03/2026, 22:15:00] [WIN] Trade #371 | Lote: 0.03 | P&L: +$50.01 | Saldo: $4130.77 ???
[24/03/2026, 22:30:00] [LOSS] Trade #180 | Lote: 0.03 | P&L: $-23.01 | Saldo: $4107.76 ???
[24/03/2026, 22:45:00] [WIN] Trade #373 | Lote: 0.01 | P&L: +$17.68 | Saldo: $4125.44 ???
[24/03/2026, 23:00:00] [LOSS] Trade #182 | Lote: 0.01 | P&L: $-6.24 | Saldo: $4119.20 ???
[24/03/2026, 23:15:00] [WIN] Trade #375 | Lote: 0.01 | P&L: +$27.03 | Saldo: $4146.23 ???
[24/03/2026, 23:30:00] [WIN] Trade #376 | Lote: 0.01 | P&L: +$41.75 | Saldo: $4187.98 ???
[24/03/2026, 23:45:00] [WIN] Trade #377 | Lote: 0.01 | P&L: +$19.30 | Saldo: $4207.28 ???
[25/03/2026, 00:00:00] [WIN] Trade #378 | Lote: 0.01 | P&L: +$17.31 | Saldo: $4224.59 ???
[25/03/2026, 00:15:00] [WIN] Trade #379 | Lote: 0.02 | P&L: +$36.28 | Saldo: $4260.87 ???
[25/03/2026, 00:30:00] [WIN] Trade #380 | Lote: 0.02 | P&L: +$46.80 | Saldo: $4307.67 ???
[25/03/2026, 00:45:00] [LOSS] Trade #189 | Lote: 0.03 | P&L: $-15.07 | Saldo: $4292.59 ???
[25/03/2026, 01:00:00] [LOSS] Trade #190 | Lote: 0.01 | P&L: $-13.20 | Saldo: $4279.39 ???
[25/03/2026, 01:15:00] [WIN] Trade #383 | Lote: 0.01 | P&L: +$10.41 | Saldo: $4289.80 ???
[25/03/2026, 01:30:00] [WIN] Trade #384 | Lote: 0.01 | P&L: +$16.93 | Saldo: $4306.73 ???
[25/03/2026, 01:45:00] [LOSS] Trade #193 | Lote: 0.01 | P&L: $-8.72 | Saldo: $4298.01 ???
[25/03/2026, 02:00:00] [WIN] Trade #386 | Lote: 0.01 | P&L: +$16.38 | Saldo: $4314.39 ???
[25/03/2026, 02:15:00] [WIN] Trade #387 | Lote: 0.01 | P&L: +$8.15 | Saldo: $4322.54 ???
[25/03/2026, 02:30:00] [WIN] Trade #388 | Lote: 0.01 | P&L: +$16.00 | Saldo: $4338.54 ???
[25/03/2026, 02:45:00] [WIN] Trade #389 | Lote: 0.01 | P&L: +$20.70 | Saldo: $4359.24 ???
[25/03/2026, 03:00:00] [WIN] Trade #390 | Lote: 0.02 | P&L: +$25.94 | Saldo: $4385.18 ???
[25/03/2026, 03:15:00] [WIN] Trade #391 | Lote: 0.02 | P&L: +$15.44 | Saldo: $4400.62 ???
[25/03/2026, 03:30:00] [WIN] Trade #392 | Lote: 0.03 | P&L: +$24.45 | Saldo: $4425.07 ???
